Name,Platform,Year,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,96,42,8.7,1026
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,,,,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94,20,9.4,918
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,94,82,8.7,3558
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,92,64,7.6,972
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,95,98,9.1,8003
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,95,85,6.8,5311
Resident Evil 2,PS,1998,Action,Virgin Interactive,89,13,9.2,364
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,87,65,8.8,197
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,89,8,8.9,102
Destiny,PS4,2014,Shooter,Activision,76,95,6.1,5380
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,80,17,8.9,62
Cooking Mama,DS,2006,Simulation,505 Games,67,35,7.2,21
Tetris,NES,1988,Puzzle,Nintendo,,,,
Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,
Assassin's Creed II,PS3,2009,Action,Ubisoft,91,70,8.6,1202
Assassin's Creed,X360,2007,Adventure,Ubisoft,81,77,7.7,1074
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,92,90,8,516
Super Mario Advance,GBA,2001,Platform,Nintendo,84,19,7.8,41
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,81,48,8.7,124
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,96,42,8.6,2162
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,97,14,7.9,764
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,93,24,8.3,108
Super Mario World,GBA,2001,Platform,Nintendo,,,,
